Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
2949,Scotland.org,LIVE,QA issues found,False,False,False,True,http://www.scotland.org/,['https://www.scotland.org/sitemap.xml']
2201,John Redwood (Conservative  Politician),LIVE,No QA issues found (OK to publish),True,False,False,True,http://www.johnredwoodsdiary.com/,['http://johnredwoodsdiary.com/']
47616,Sarah Olney (@sarahjolney1) on Twitter (Liberal Democrat  Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/sarahjolney1,[]
53071,Philip Hammond (@PhilipHammondUK  ) on Twitter (Conservative Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/PhilipHammondUK/,[]
22755,Nicky Morgan (@NickyMorgan01) on Twitter (Conservative  Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/nickymorgan01/,[]
55831,Mike Hookem (@mikehookemmep) on Twitter (UKIP Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/mikehookemmep/,[]
22713,Damian Green (@DamianGreen ) on Twitter ,VANISHED,"QA issues, but OK to publish",True,False,False,False,https://twitter.com/damiangreen/,[]
44159,Douglas Carswell (Independent Politician),LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.douglascarswell.com/,[]
53785,Steve Barclay (@SteveBarclay) on Twitter (Conservative Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/SteveBarclay/,[]
89074,HOCHTIEF (UK) Construction,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.hochtief-construction.co.uk/,[]
89073,Queensferry Crossing ARC,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.queensferrycrossingarc.co.uk/,['http://www.queensferrycrossingarc.co.uk/sitemap.xml']
88788,Broadband for Scotland,NO_LONGER_UPDATED,"QA issues, but OK to publish",False,False,False,False,http://www.broadbandforscotland.co.uk,[]
42922,Historic Environment Scotland / Àrainneachd Eachdraidheil Alba,LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.historicenvironment.scot/,"['https://pub-prod-sdk.azurewebsites.net/api/file/', 'https://hesmainprod.blob.core.windows.net/', 'https://www.historicenvironment.scot/sitemap.xml']"
16040,NHS 24,LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.nhs24.com/,['http://www.nhs24.com/sitemap/']
88752,JRSO,LIVE,QA issues found,False,False,False,False,http://www.jrso.com/,['http://www.jrso.com/sitemap/']
88732,Adult Literacies Online,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.adultliteraciesonline.co.uk/alo/CCC_FirstPage.jsp,[]
88645,Road Safety Scotland,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.roadsafetyscotland.co.uk/,[]
88642,Placebook Scotland,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.placebookscotland.co.uk/,[]
88608,Arctic Office,LIVE,No QA issues found (OK to publish),False,False,False,False,https://www.arctic.ac.uk/,[]
88588,Wellbeing - Steps for Stress.,LIVE,"QA issues, but OK to publish",False,False,False,False,http://steps4stress.com/,[]
13721,Stewart Stevenson MSP,LIVE,QA issues found,True,False,False,True,http://stewartstevenson.blogspot.com/,"['http://stewartstevenson-surgeries.blogspot.com/', 'http://stewartstevenson-comment.blogspot.com/', 'http://stewartstevenson-oral.blogspot.com/', 'http://stewartstevenson-oralanswersgiven.blogspot.com/', 'http://stewartstevenson-speeches.blogspot.com/']"
87311,Journal of Creative Music Systems,LIVE,QA issues found,False,False,False,False,https://www.jcms.org.uk/,[]
72277,"Scottish Government, The",LIVE,QA issues found,False,False,False,False,https://www2.gov.scot/,"['http://www.gov2.scot/Topics/', 'http://www2.gov.scot/seso/SiteMap.aspx', 'https://www2.gov.scot/Site-Map']"
21025,Conservative Home (@ConHome) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/conhome/,[]
66814,Scottish Natural Heritage / Dualchas Nàdair na h-Alba,LIVE,"QA issues, but OK to publish",False,False,False,False,https://www.nature.scot/,[]
3153,Scottish Labour Party,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.scottishlabour.org.uk/,[]
14273,Labour List,LIVE,No QA issues found (OK to publish),False,False,False,True,http://labourlist.org/,[]
52777,UKIP Scotland,LIVE,"Failed, Pass to Engineer",True,False,False,False,https://www.ukip.scot/,[]
